,Альбина,Рамиль Единственный,Ильназ Фазлиахметов,Фарид Гайнуллин,альберт самигуллин,Марат Мухаметшин,Марат Файзерахманов,Фаррахова Лилия,Мансур Сайхунов,Мансур Хазеев,Миляуша Гараева,Айгуль Ахметзянова ,Марат Вильданов,w1,w2
мәхәббәт        мөнәсәбәт,6.66,3.33,3.33,3.33,10.00,10.00,3.33,10.00,6.66,6.66,0.00,6.66,3.33,мәхәббәт,мөнәсәбәт
китап	кәгазь,6.66,6.66,10.00,10.00,10.00,10.00,10.00,6.66,6.66,10.00,0.00,6.66,6.66,китап,кәгазь
интернет	сайт,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,10.00,6.66,6.66,10.00,интернет,сайт
компьютер	интернет,10.00,6.66,6.66,10.00,10.00,10.00,10.00,6.66,6.66,10.00,0.00,6.66,10.00,компьютер,интернет
телефон	элемтә,6.66,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,6.66,6.66,10.00,6.66,телефон,элемтә
наркотик	тарату,10.00,3.33,6.66,6.66,6.66,3.33,6.66,3.33,3.33,3.33,0.00,0.00,3.33,наркотик,тарату
акыллы	студент,3.33,3.33,3.33,3.33,10.00,6.66,3.33,3.33,6.66,3.33,0.00,0.00,0.00,акыллы,студент
компания	акция,6.66,6.66,3.33,3.33,10.00,6.66,10.00,6.66,3.33,3.33,0.00,3.33,3.33,компания,акция
акция	базар,10.00,6.66,0.00,6.66,6.66,3.33,0.00,3.33,3.33,6.66,0.00,0.00,0.00,акция,базар
акция	телефон,6.66,0.00,0.00,0.00,6.66,3.33,6.66,0.00,3.33,0.00,0.00,0.00,0.00,акция,телефон
акция	диск,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,акция,диск
акция	бүре,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,акция,бүре
акция	йомырка,3.33,0.00,0.00,0.00,3.33,3.33,0.00,3.33,3.33,0.00,0.00,0.00,0.00,акция,йомырка
