,Альбина Хусаинова,Фарид Гайнуллин,альберт самигуллин,Марат Мухаметшин,Марат Файзерахманов,Фаррахова Лилия,Сулейман Фаррахов,Миляуша Гараева,Мансур Сайхунов,Мансур Хазеев,Марат Вильданов,Айгуль Ахметзянова ,Рамиль,w1,w2
юлбарыс        песи,6.66,6.66,6.66,3.33,6.66,3.33,3.33,0.00,6.66,3.33,3.33,3.33,6.66,юлбарыс,песи
акыллы	зирәк,6.66,10.00,10.00,10.00,10.00,10.00,6.66,3.33,6.66,6.66,6.66,10.00,6.66,акыллы,зирәк
очкыч	машина,3.33,0.00,3.33,3.33,3.33,3.33,0.00,0.00,0.00,0.00,3.33,0.00,0.00,очкыч,машина
поезд	машина,3.33,3.33,3.33,3.33,3.33,3.33,0.00,0.00,0.00,3.33,3.33,3.33,0.00,поезд,машина
авыр	читен,10.00,10.00,10.00,10.00,10.00,3.33,3.33,10.00,6.66,0.00,6.66,10.00,10.00,авыр,читен
ММЧ	радио,3.33,10.00,6.66,3.33,10.00,6.66,3.33,3.33,3.33,6.66,3.33,0.00,6.66,ММЧ,радио
ипи	май,0.00,0.00,3.33,0.00,6.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ипи,май
кыяр	бәрәңге,3.33,0.00,3.33,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,кыяр,бәрәңге
табиб	фельдшер,10.00,10.00,6.66,6.66,10.00,6.66,6.66,3.33,6.66,6.66,3.33,10.00,10.00,табиб,фельдшер
йорт	өй,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,йорт,өй
йорт	бина,6.66,3.33,10.00,6.66,10.00,10.00,10.00,3.33,6.66,10.00,6.66,6.66,10.00,йорт,бина
шәкерт	укучы,10.00,10.00,10.00,10.00,10.00,6.66,10.00,10.00,10.00,10.00,10.00,10.00,10.00,шәкерт,укучы
акыллы	юләр,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,акыллы,юләр
чибәр	матур,10.00,10.00,10.00,10.00,10.00,10.00,6.66,10.00,10.00,10.00,10.00,10.00,10.00,чибәр,матур
аксак	гарип,6.66,6.66,6.66,6.66,6.66,3.33,6.66,6.66,6.66,10.00,6.66,3.33,6.66,аксак,гарип
шатлык	бәхет,6.66,6.66,10.00,6.66,10.00,6.66,10.00,0.00,6.66,10.00,10.00,10.00,6.66,шатлык,бәхет
гаҗәп	сәер,6.66,6.66,10.00,3.33,10.00,6.66,6.66,0.00,3.33,6.66,6.66,3.33,3.33,гаҗәп,сәер
иптәш	дус,6.66,10.00,10.00,10.00,10.00,10.00,10.00,6.66,6.66,10.00,6.66,10.00,10.00,иптәш,дус
тәпи	аяк,10.00,6.66,10.00,6.66,10.00,3.33,10.00,0.00,10.00,10.00,10.00,10.00,6.66,тәпи,аяк
агач	урман,3.33,6.66,6.66,3.33,6.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,агач,урман
акча	алтын,6.66,6.66,6.66,6.66,3.33,3.33,0.00,3.33,3.33,3.33,3.33,0.00,6.66,акча,алтын
гаскәри	хәрби,10.00,10.00,10.00,6.66,10.00,6.66,3.33,6.66,10.00,10.00,10.00,10.00,10.00,гаскәри,хәрби
патша	кәбестә,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,патша,кәбестә
патша	патшабикә,10.00,6.66,10.00,3.33,10.00,6.66,0.00,6.66,6.66,6.66,3.33,10.00,6.66,патша,патшабикә
патша	имам,6.66,3.33,6.66,6.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,3.33,патша,имам
мулла	рухани,6.66,6.66,6.66,10.00,10.00,6.66,3.33,6.66,6.66,6.66,6.66,10.00,10.00,мулла,рухани
изге	кыяр,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,изге,кыяр
тән	гәүдә,10.00,6.66,10.00,10.00,10.00,10.00,3.33,6.66,10.00,10.00,10.00,10.00,6.66,тән,гәүдә
арзан	бушка,6.66,6.66,10.00,6.66,3.33,3.33,3.33,0.00,3.33,3.33,0.00,3.33,3.33,арзан,бушка
бау	җеп,6.66,10.00,6.66,6.66,6.66,6.66,0.00,3.33,10.00,10.00,6.66,10.00,6.66,бау,җеп
революция	инкыйлаб,10.00,10.00,10.00,10.00,0.00,6.66,6.66,10.00,10.00,10.00,10.00,10.00,10.00,революция,инкыйлаб
көн	төн,3.33,0.00,6.66,0.00,10.00,0.00,0.00,3.33,0.00,3.33,0.00,0.00,0.00,көн,төн
кушамат	исем,6.66,6.66,10.00,6.66,10.00,6.66,3.33,3.33,6.66,6.66,3.33,3.33,6.66,кушамат,исем
аракы	сыра,3.33,6.66,10.00,10.00,6.66,10.00,0.00,0.00,6.66,0.00,0.00,0.00,0.00,аракы,сыра
аракы	шәраб,3.33,10.00,10.00,10.00,6.66,6.66,0.00,0.00,6.66,3.33,0.00,0.00,0.00,аракы,шәраб
бәйләнеш	мөнәсәбәт,6.66,6.66,10.00,6.66,10.00,6.66,3.33,0.00,10.00,6.66,6.66,6.66,3.33,бәйләнеш,мөнәсәбәт
гыйлем	белем,10.00,10.00,10.00,10.00,10.00,6.66,3.33,3.33,10.00,10.00,10.00,10.00,6.66,гыйлем,белем
эчү	ашау,3.33,3.33,6.66,3.33,6.66,0.00,3.33,0.00,6.66,6.66,0.00,3.33,3.33,эчү,ашау
бәхетсез	мескен,6.66,6.66,6.66,6.66,3.33,6.66,6.66,0.00,6.66,10.00,3.33,6.66,3.33,бәхетсез,мескен
машина	автомобиль,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,машина,автомобиль
бизәк	асылташлар,6.66,3.33,6.66,6.66,3.33,3.33,0.00,3.33,3.33,6.66,0.00,3.33,6.66,бизәк,асылташлар
сәяхәт	сәфәр,10.00,10.00,10.00,10.00,10.00,6.66,3.33,10.00,10.00,6.66,10.00,10.00,10.00,сәяхәт,сәфәр
малай	егет,6.66,10.00,10.00,10.00,6.66,6.66,6.66,3.33,6.66,6.66,3.33,6.66,6.66,малай,егет
котылу	эләгү,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,котылу,эләгү
сихерче	тылсымчы,10.00,10.00,10.00,10.00,10.00,6.66,10.00,10.00,3.33,3.33,6.66,10.00,3.33,сихерче,тылсымчы
